measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,Deaths,263,Western Africa,1,Male,22,All ages,417,Liver cancer,1,Number,1990,2021,0.4970843818708118,1.4561042192068288,0.07302096258129114
1,Deaths,263,Western Africa,2,Female,22,All ages,417,Liver cancer,1,Number,1990,2021,0.8374329060959816,1.9557322833068778,0.11644641075964993
1,Deaths,263,Western Africa,3,Both,22,All ages,417,Liver cancer,1,Number,1990,2021,0.6235394162967296,1.4699086632664997,0.15294880634654842
1,Deaths,263,Western Africa,1,Male,22,All ages,417,Liver cancer,2,Percent,1990,2021,0.05615527982038973,0.7100403724302835,-0.2194986991139569
1,Deaths,263,Western Africa,2,Female,22,All ages,417,Liver cancer,2,Percent,1990,2021,0.37639649485913684,1.08040594921743,-0.1264889621748784
1,Deaths,263,Western Africa,3,Both,22,All ages,417,Liver cancer,2,Percent,1990,2021,0.17747520399208297,0.7721508516982531,-0.14898056438935908
1,Deaths,263,Western Africa,1,Male,22,All ages,417,Liver cancer,3,Rate,1990,2021,-0.3869814462071796,0.005713154619323802,-0.5606247940086218
1,Deaths,263,Western Africa,2,Female,22,All ages,417,Liver cancer,3,Rate,1990,2021,-0.2795534993141592,0.15892502708960216,-0.5622480107074772
1,Deaths,263,Western Africa,3,Both,22,All ages,417,Liver cancer,3,Rate,1990,2021,-0.34968627203137936,-0.010670455901473594,-0.5381827944021034
1,Deaths,263,Western Africa,1,Male,27,Age-standardized,417,Liver cancer,3,Rate,1990,2021,-0.2780830739112081,0.18839019658765555,-0.48930239975362333
1,Deaths,263,Western Africa,2,Female,27,Age-standardized,417,Liver cancer,3,Rate,1990,2021,-0.18157069280193242,0.3481188209241408,-0.5162802093186603
1,Deaths,263,Western Africa,3,Both,27,Age-standardized,417,Liver cancer,3,Rate,1990,2021,-0.2544334510577122,0.15588146693831686,-0.4795644025886909
1,Deaths,263,Western Africa,1,Male,22,All ages,418,Liver cancer due to hepatitis B,1,Number,1990,2021,0.4426080244891387,1.42369887137824,0.026843556481508955
1,Deaths,263,Western Africa,2,Female,22,All ages,418,Liver cancer due to hepatitis B,1,Number,1990,2021,0.726225174805419,1.8351133887896918,0.03500737509583508
1,Deaths,263,Western Africa,3,Both,22,All ages,418,Liver cancer due to hepatitis B,1,Number,1990,2021,0.5115807172426396,1.3690908796464556,0.07487900196684866
1,Deaths,263,Western Africa,1,Male,22,All ages,418,Liver cancer due to hepatitis B,2,Percent,1990,2021,0.017421256581751223,0.6793795067557276,-0.2454822618387127
1,Deaths,263,Western Africa,2,Female,22,All ages,418,Liver cancer due to hepatitis B,2,Percent,1990,2021,0.29250593837784905,1.0257803702155905,-0.18903072509242272
1,Deaths,263,Western Africa,3,Both,22,All ages,418,Liver cancer due to hepatitis B,2,Percent,1990,2021,0.09591057344754027,0.723490009905408,-0.19732979301253453
1,Deaths,263,Western Africa,1,Male,22,All ages,418,Liver cancer due to hepatitis B,3,Rate,1990,2021,-0.40928814997245444,-0.007556023592401681,-0.5795332851050408
