measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,1,Number,1990,10470444.083236976,13094330.199926252,8360217.657286078
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,1,Number,1990,17005298.36050155,21328022.815001585,13561400.742083143
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1990,27475742.44373852,34411764.56405844,21926364.216169097
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,3,Rate,1990,1328.40316403604,1661.3000872010002,1060.67512511231
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,3,Rate,1990,2230.4431297189403,2797.41883674931,1778.7358077057902
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,3,Rate,1990,1771.92469224252,2219.2323086281904,1414.0424501827001
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,1,Number,1991,10482777.630735818,13120861.399584783,8377324.474071743
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,1,Number,1991,17030847.145027064,21310827.454237457,13595694.987981156
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1991,27513624.775762875,34466760.83536063,21978766.35091616
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,3,Rate,1991,1320.4854888657399,1652.7973491272298,1055.26758204782
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,3,Rate,1991,2219.8496759873397,2777.71463841272,1772.10204852935
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,3,Rate,1991,1762.4905769181,2207.90032881186,1407.93402910323
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,1,Number,1992,10496839.053352326,13147710.79335354,8385483.248594826
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,1,Number,1992,17057127.349074822,21297164.022825144,13622726.136949671
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1992,27553966.402427144,34521449.41775783,22033128.85365333
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,3,Rate,1992,1313.19139868652,1644.8247551948298,1049.05337882339
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,3,Rate,1992,2209.6009039044898,2758.86038207887,1764.7044176802701
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,3,Rate,1992,1753.5852750706902,2197.00875325685,1402.22898428511
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,1,Number,1993,10527352.581456205,13192867.47955992,8407217.656646749
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,1,Number,1993,17110326.44863236,21318816.55999192,13670155.301854672
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1993,27637679.0300886,34569290.02871192,22117670.9644098
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,3,Rate,1993,1306.93813884071,1637.8535378477,1043.72997028345
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,3,Rate,1993,2200.45061903253,2741.67785385678,1758.0320157270498
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,3,Rate,1993,1745.81669973518,2183.67265081885,1397.12887203288
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,1,Number,1994,10573999.15078869,13255425.98002189,8457831.984511217
6,Incidence,1,Global,2,Female,159,10-24 years,630,Low back pain,1,Number,1994,17193296.8587107,21381255.347842347,13740741.534569006
6,Incidence,1,Global,3,Both,159,10-24 years,630,Low back pain,1,Number,1994,27767296.009499397,34675786.39963505,22231235.25595247
6,Incidence,1,Global,1,Male,159,10-24 years,630,Low back pain,3,Rate,1994,1301.80092197812,1631.92047927469,1041.27240019227
