"measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","cause_name","metric_id","metric_name","year","val","upper","lower"
2,"DALYs (Disability-Adjusted Life Years)",89,"Netherlands",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,34.8426212171759,52.0970940708635,23.0171383611988
2,"DALYs (Disability-Adjusted Life Years)",89,"Netherlands",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,7.57093968710274,11.4936519480941,5.09315788229204
2,"DALYs (Disability-Adjusted Life Years)",89,"Netherlands",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,20.9107040960145,30.9769023838345,13.9389329671875
2,"DALYs (Disability-Adjusted Life Years)",101,"Canada",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,78.0059252724782,113.428539591714,52.4906636486828
2,"DALYs (Disability-Adjusted Life Years)",101,"Canada",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,17.1794674293395,24.8690963406791,11.074638282352
2,"DALYs (Disability-Adjusted Life Years)",101,"Canada",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,46.6433889698267,67.3146943399826,31.7652248776477
2,"DALYs (Disability-Adjusted Life Years)",149,"Palestine",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,22.5608360638565,33.3057430110409,14.8628013553195
2,"DALYs (Disability-Adjusted Life Years)",149,"Palestine",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,8.21935162874345,12.0397740825856,5.39919387543644
2,"DALYs (Disability-Adjusted Life Years)",149,"Palestine",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,15.1569378737451,22.0701349897451,10.07186467227
2,"DALYs (Disability-Adjusted Life Years)",90,"Norway",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,28.6635205953869,41.7672404712095,19.2648956366317
2,"DALYs (Disability-Adjusted Life Years)",90,"Norway",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,6.50379569852373,9.35879226588942,4.36078908023336
2,"DALYs (Disability-Adjusted Life Years)",90,"Norway",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,17.5612389303339,25.3677098744269,11.8070420498074
2,"DALYs (Disability-Adjusted Life Years)",113,"Guyana",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,10.4986039916323,14.8317980500345,6.91955092529046
2,"DALYs (Disability-Adjusted Life Years)",113,"Guyana",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,5.08034134837647,7.4228606183589,3.32207912734714
2,"DALYs (Disability-Adjusted Life Years)",113,"Guyana",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,7.62070297088287,10.7222864258869,5.05127892426276
2,"DALYs (Disability-Adjusted Life Years)",66,"Brunei Darussalam",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,38.8299489904878,57.1837455789881,25.2780977518404
2,"DALYs (Disability-Adjusted Life Years)",66,"Brunei Darussalam",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,8.88545973359484,13.1932863556902,5.7341258861346
2,"DALYs (Disability-Adjusted Life Years)",66,"Brunei Darussalam",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,23.9442552381973,34.9794954830666,15.694072145871
2,"DALYs (Disability-Adjusted Life Years)",125,"Colombia",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,7.26427376495584,10.6990586544461,4.76670613435056
2,"DALYs (Disability-Adjusted Life Years)",125,"Colombia",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,3.97895433644496,5.98870786249317,2.51964154780343
2,"DALYs (Disability-Adjusted Life Years)",125,"Colombia",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,5.50700567512399,8.13540154644749,3.58963358726748
2,"DALYs (Disability-Adjusted Life Years)",198,"Zimbabwe",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,22.7996399557892,33.9194131888662,14.9583645678763
2,"DALYs (Disability-Adjusted Life Years)",198,"Zimbabwe",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,7.25188081948615,10.6628118160951,4.6734397100118
2,"DALYs (Disability-Adjusted Life Years)",198,"Zimbabwe",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,13.851124661438,20.4469104946639,9.12058962831655
2,"DALYs (Disability-Adjusted Life Years)",26,"Papua New Guinea",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,30.1578477686153,44.406945745488,19.9631795817111
2,"DALYs (Disability-Adjusted Life Years)",26,"Papua New Guinea",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,9.95204625333719,14.7627098976853,6.36897032435135
2,"DALYs (Disability-Adjusted Life Years)",26,"Papua New Guinea",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,20.5843458921804,30.3914480301669,13.73042456275
2,"DALYs (Disability-Adjusted Life Years)",91,"Portugal",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,34.258414147883,50.9029522171192,23.0416163454281
2,"DALYs (Disability-Adjusted Life Years)",91,"Portugal",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,6.7699999682007,9.9169888840802,4.30117065529001
2,"DALYs (Disability-Adjusted Life Years)",91,"Portugal",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,19.4623019371229,28.5584884523051,13.194295223385
2,"DALYs (Disability-Adjusted Life Years)",79,"Finland",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,32.4282309167129,47.7912331878834,21.2459024929501
2,"DALYs (Disability-Adjusted Life Years)",79,"Finland",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,6.98940911565178,10.3126444895133,4.58551626772468
2,"DALYs (Disability-Adjusted Life Years)",79,"Finland",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,19.3552424935776,28.024190814427,12.5530682360888
2,"DALYs (Disability-Adjusted Life Years)",8,"Taiwan (Province of China)",1,"Male",27,"Age-standardized",632,"Gout",3,"Rate",2021,52.4785800513412,76.5077483550184,35.8000845060867
2,"DALYs (Disability-Adjusted Life Years)",8,"Taiwan (Province of China)",2,"Female",27,"Age-standardized",632,"Gout",3,"Rate",2021,15.1413958767693,21.4344977864778,10.1611105779256
2,"DALYs (Disability-Adjusted Life Years)",8,"Taiwan (Province of China)",3,"Both",27,"Age-standardized",632,"Gout",3,"Rate",2021,33.1602672430197,47.9930613868965,22.772972386134
